Timestamp,Q1. Select your Age ,  Q2. Current education level  ,  Q3. Average daily screen time (in hours)  ,  Q4. Average daily social media usage (hours)  ,  Q5. Average daily gaming time (hours)  , Q6. Do you use your phone before sleeping?  ,Q7. How many times do you check your phone per day?  , Q8. Average sleep duration per night  ,Q9. I use my smartphone longer than intended  ,Q10. I feel restless or anxious when I cannot use my phone  ,  Q11. My smartphone use affects my sleep  ,Q12. I find it difficult to reduce my smartphone usage  ,Q13. I miss important academic tasks due to smartphone use  ,Q14. I use my phone during study time  ,Q15. My academic performance has been affected by smartphone use  ,Q16. I feel distracted in class due to smartphone use  ,Q17. Current academic percentage / GPA  ,Q18. Average study time per day (excluding school hours)  ,Q19. Attendance percentage  ,Q20. How often do you have difficulty concentrating on studies?  ,Q21. Have your academic grades decreased in the past year?  
2/28/2026 13:46:57,13,Grade 8,2–4 hours,1–3 hours,None,Always,20–50,More than 8 hours,1,3,2,2,2,1,1,3,80–90%,Less than 1 hour,75–90%,2,No
2/28/2026 15:01:18,16,Grade 12,2–4 hours,Less than 1 hour,None,Sometimes,20–50,6–7 hours,3,3,2,4,3,3,2,1,80–90%,1–2 hours,75–90%,4,Yes
2/28/2026 22:20:58,18,First year college,4–6 hours,1–3 hours,Less than 1 hour,Often,20–50,7–8 hours,3,4,3,3,4,3,4,4,Above 90%,Less than 1 hour,Above 90%,4,No
3/1/2026 9:55:40,13,Grade 10,Less than 2 hours,1–3 hours,None,Sometimes,20–50,More than 8 hours,2,1,1,1,1,1,1,1,Above 90%,1–2 hours,Above 90%,1,Not sure
3/2/2026 14:07:52,15,Grade 11,2–4 hours,1–3 hours,None,Often,20–50,6–7 hours,3,1,1,3,2,1,1,1,70–80%,1–2 hours,Above 90%,3,Yes
3/2/2026 17:02:47,16,Grade 11,4–6 hours,1–3 hours,None,Often,50–100,5–6 hours,4,4,3,4,5,5,5,2,70–80%,Less than 1 hour,75–90%,3,Yes
3/2/2026 17:10:19,17,Grade 10,2–4 hours,1–3 hours,None,Sometimes,Less than 20,7–8 hours,3,1,1,1,1,1,1,1,70–80%,2–4 hours,75–90%,1,No
3/2/2026 17:10:57,16,Grade 11,2–4 hours,1–3 hours,None,Always,20–50,5–6 hours,4,1,1,5,5,5,5,1,70–80%,1–2 hours,75–90%,4,No
3/2/2026 17:13:06,16,Grade 11,6–8 hours,3–5 hours,Less than 1 hour,Often,20–50,5–6 hours,3,1,2,1,2,1,1,1,70–80%,2–4 hours,Above 90%,2,No
3/2/2026 17:17:24,16,Grade 11,4–6 hours,1–3 hours,Less than 1 hour,Often,20–50,7–8 hours,4,1,1,2,1,3,1,1,70–80%,1–2 hours,75–90%,2,No
3/2/2026 17:24:12,16,Grade 11,6–8 hours,More than 5 hours,More than 3 hours,Always,50–100,More than 8 hours,4,1,2,1,1,3,1,1,80–90%,1–2 hours,Above 90%,1,No
3/2/2026 17:28:18,16,Grade 11,More than 8 hours,More than 5 hours,Less than 1 hour,Sometimes,50–100,7–8 hours,4,4,2,4,2,4,1,1,Above 90%,1–2 hours,75–90%,4,No
3/2/2026 18:04:33,16,Grade 11,4–6 hours,1–3 hours,None,Sometimes,50–100,6–7 hours,3,4,3,3,3,3,3,3,Above 90%,2–4 hours,Less than 60%,4,Not sure
3/2/2026 18:49:31,18,First year college,2–4 hours,1–3 hours,1–3 hours,Often,20–50,5–6 hours,3,1,1,1,,2,1,2,80–90%,1–2 hours,75–90%,2,No
3/2/2026 18:58:10,16,First year college,4–6 hours,3–5 hours,None,Sometimes,Less than 20,7–8 hours,3,1,1,1,1,1,2,1,80–90%,1–2 hours,60–75%,2,Yes
3/2/2026 19:00:59,16,Grade 10,6–8 hours,3–5 hours,None,Always,50–100,7–8 hours,5,3,5,4,4,4,5,3,60–70%,1–2 hours,60–75%,4,Yes
3/2/2026 19:02:58,13,Grade 10,2–4 hours,1–3 hours,Less than 1 hour,Sometimes,Less than 20,7–8 hours,1,3,4,4,5,3,4,1,Above 90%,1–2 hours,Above 90%,4,Yes
3/2/2026 19:03:30,16,Grade 12,4–6 hours,3–5 hours,None,Sometimes,20–50,6–7 hours,3,4,2,2,2,3,4,1,80–90%,2–4 hours,75–90%,3,Not sure
3/2/2026 19:10:39,17,Grade 12,6–8 hours,More than 5 hours,None,Always,20–50,6–7 hours,5,2,3,3,2,4,2,1,70–80%,2–4 hours,75–90%,2,No
3/2/2026 19:22:29,16,Grade 12,2–4 hours,1–3 hours,None,Often,20–50,5–6 hours,5,3,5,5,5,2,3,2,80–90%,More than 4 hours,75–90%,3,Yes
3/2/2026 19:25:25,16,Grade 12,2–4 hours,1–3 hours,None,Never,Less than 20,7–8 hours,1,1,1,1,3,4,4,1,Above 90%,1–2 hours,75–90%,3,Yes
3/2/2026 19:31:04,16,Grade 12,Less than 2 hours,Less than 1 hour,None,Sometimes,Less than 20,7–8 hours,1,1,1,1,1,4,1,1,Above 90%,More than 4 hours,Above 90%,5,No
3/2/2026 19:41:09,14,Grade 10,4–6 hours,3–5 hours,1–3 hours,Always,More than 100,6–7 hours,4,4,3,4,4,4,4,3,Above 90%,1–2 hours,75–90%,3,Yes
3/2/2026 19:43:05,18,Grade 12,2–4 hours,1–3 hours,None,Often,Less than 20,6–7 hours,3,2,2,2,3,3,2,2,80–90%,More than 4 hours,Above 90%,2,No
3/2/2026 19:44:17,17,Grade 12,2–4 hours,1–3 hours,None,Sometimes,20–50,6–7 hours,4,3,3,3,3,4,2,2,80–90%,2–4 hours,75–90%,2,Not sure
